age,annual_income,employment_years,total_debt,debt_to_income,num_credit_lines,late_payments_2yr,credit_utilization,credit_history_length,recent_inquiries,loan_amount,home_ownership,savings_balance,creditworthy
56,46402.81,4.4,19117.96,0.412,5,1,0.269,4.1,1,4982.56,1,431.66,1
69,62864.86,7.6,24894.48,0.396,1,0,0.092,5.2,2,13134.14,1,8941.18,1
46,40429.23,1.1,20214.62,0.5,7,1,0.606,6.5,1,7029.17,1,3477.1,0
32,60489.57,0.3,28369.61,0.469,4,2,0.396,6.6,1,7607.83,1,11425.4,1
60,31818.54,10.3,14986.53,0.471,3,2,0.166,4.0,1,11554.05,2,780.26,0
25,45685.49,0.4,16309.72,0.357,5,2,0.51,19.2,1,7080.7,2,31146.71,1
38,57427.02,1.4,23028.24,0.401,6,2,0.544,6.1,0,17233.76,1,15740.88,0
56,53897.02,5.9,21451.01,0.398,2,0,0.325,13.6,0,15736.63,0,22528.53,1
36,21966.36,2.6,3712.31,0.169,5,0,0.388,0.0,0,13910.74,0,451.1,0
40,39359.67,10.5,20073.43,0.51,4,1,0.306,14.1,2,6780.59,0,10727.89,1
28,113406.21,1.8,11340.62,0.1,5,1,0.246,18.4,0,13961.83,2,2986.57,1
28,38321.91,0.1,17513.11,0.457,4,1,0.599,9.6,0,6337.44,1,52336.69,0
41,49409.79,1.8,19269.82,0.39,8,3,0.171,11.6,3,9392.27,0,4078.98,1
53,46939.84,4.3,14410.53,0.307,4,0,0.481,12.9,1,2035.55,1,1027.21,1
57,107379.0,2.4,43918.01,0.409,4,1,0.237,10.8,2,19817.42,0,6005.97,1
41,93450.21,3.8,38594.94,0.413,3,3,0.24,7.2,0,27892.67,1,390.98,1
20,73406.33,10.5,11304.57,0.154,4,2,0.138,4.0,0,11326.3,1,10605.27,1
39,30133.08,12.2,16934.79,0.562,6,0,0.341,11.8,1,3831.58,0,1789.68,1
19,58664.59,1.5,21177.92,0.361,7,2,0.052,2.0,1,8685.37,0,2405.94,1
41,65118.95,3.1,45387.91,0.697,3,1,0.218,11.4,1,10328.25,1,4019.36,1
61,34568.48,4.0,16178.05,0.468,8,1,0.118,2.9,1,9992.75,1,2046.97,1
47,31721.23,14.9,11324.48,0.357,2,2,0.685,2.4,2,45460.65,2,21014.39,1
55,114979.26,32.9,28284.9,0.246,7,0,0.524,0.0,0,8546.43,1,2124.34,1
19,42175.65,1.3,14044.49,0.333,4,1,0.335,5.5,0,6999.49,1,5545.97,1
38,109917.83,6.5,40889.43,0.372,6,1,0.05,13.3,3,10913.86,1,5837.74,1
50,80704.28,2.4,46001.44,0.57,1,1,0.138,11.3,1,9084.69,0,3134.34,1
29,60110.41,0.0,32098.96,0.534,5,2,0.103,5.7,1,6312.76,0,1157.16,0
39,61467.61,0.0,25693.46,0.418,4,2,0.522,3.7,1,3439.05,1,193.5,0
61,24337.9,3.1,14967.81,0.615,6,2,0.461,16.3,1,15358.37,1,11248.53,0
42,54360.19,3.4,2609.29,0.048,4,1,0.33,0.0,2,5892.72,2,859.21,0
66,99559.45,0.1,41715.41,0.419,3,0,0.21,7.9,0,5410.69,1,33259.97,1
44,68917.8,5.8,37077.78,0.538,7,2,0.281,2.4,2,6083.7,2,1418.49,1
59,52953.44,1.7,22875.89,0.432,3,1,0.188,8.8,2,4116.88,2,13675.14,1
45,115377.96,4.1,17306.69,0.15,6,1,0.383,8.7,2,14670.85,1,3484.07,1
33,44688.86,1.8,24936.38,0.558,5,1,0.182,12.9,1,13541.0,0,19922.16,1
32,35962.15,0.9,16686.44,0.464,1,4,0.165,14.1,1,11091.96,0,4700.02,1
